data,produto,preco,promocao,vendas
2023-01-09,Manteiga,9.25,0,61
2023-01-10,Chocolate,34.51,0,61
2023-01-10,Biscoito,27.32,0,48
2023-01-10,Leite,33.3,0,78
2023-01-10,Refrigerante,12.98,1,60
2023-01-10,Pão,30.92,0,24
2023-01-10,Arroz,20.34,0,69
2023-01-10,Feijão,24.3,0,55
2023-01-10,Café,29.04,0,64
2023-01-10,Açúcar,19.4,0,37
2023-01-10,Manteiga,9.11,1,68
2023-01-11,Chocolate,30.8,1,55
2023-01-11,Biscoito,29.92,0,64
2023-01-11,Leite,40.62,0,36
2023-01-11,Refrigerante,38.17,0,49
2023-01-11,Pão,10.27,0,50
2023-01-11,Arroz,42.73,0,60
2023-01-11,Feijão,8.27,0,67
2023-01-11,Café,15.5,0,28
2023-01-11,Açúcar,21.68,0,23
2023-01-11,Manteiga,24.09,0,61
2023-01-12,Chocolate,24.55,0,42
2023-01-12,Biscoito,39.52,0,69
2023-01-12,Leite,35.65,0,57
2023-01-12,Refrigerante,44.09,0,71
2023-01-12,Pão,41.09,0,57
2023-01-12,Arroz,28.75,0,67
2023-01-12,Feijão,29.92,1,48
2023-01-12,Café,18.25,0,62
2023-01-12,Açúcar,31.29,0,19
2023-01-12,Manteiga,12.64,0,51
2023-01-13,Chocolate,20.9,0,51
2023-01-13,Biscoito,25.4,0,60
2023-01-13,Leite,23.5,0,28
2023-01-13,Refrigerante,47.74,1,55
2023-01-13,Pão,23.82,0,29
2023-01-13,Arroz,31.74,1,73
2023-01-13,Feijão,42.72,1,62
2023-01-13,Café,8.39,0,15
2023-01-13,Açúcar,49.99,0,47
2023-01-13,Manteiga,39.07,0,56
2023-01-14,Chocolate,14.23,0,38
2023-01-14,Biscoito,39.06,0,36
2023-01-14,Leite,6.0,0,51
2023-01-14,Refrigerante,41.74,0,35
2023-01-14,Pão,40.63,0,69
2023-01-14,Arroz,33.77,0,73
2023-01-14,Feijão,20.78,1,44
2023-01-14,Café,29.64,1,94
2023-01-14,Açúcar,28.56,1,105
2023-01-14,Manteiga,39.6,0,44
2023-01-15,Chocolate,32.94,0,45
2023-01-15,Biscoito,10.8,0,73
2023-01-15,Leite,36.4,0,95
2023-01-15,Refrigerante,28.19,0,46
2023-01-15,Pão,15.07,0,54
2023-01-15,Arroz,29.69,0,83
2023-01-15,Feijão,45.24,0,35
2023-01-15,Café,26.65,0,54
2023-01-15,Açúcar,12.06,0,60
2023-01-15,Manteiga,32.82,1,113
2023-01-16,Chocolate,37.42,0,44
2023-01-16,Biscoito,28.95,0,38
2023-01-16,Leite,20.94,0,59
2023-01-16,Refrigerante,5.9,0,72
2023-01-16,Pão,9.01,0,68
2023-01-16,Arroz,35.56,0,33
2023-01-16,Feijão,26.58,0,29
2023-01-16,Café,24.42,0,68
2023-01-16,Açúcar,20.19,0,39
2023-01-16,Manteiga,49.39,0,82
2023-01-17,Chocolate,9.58,1,88
2023-01-17,Biscoito,8.95,0,19
2023-01-17,Leite,45.35,0,49
2023-01-17,Refrigerante,49.88,0,54
2023-01-17,Pão,48.63,0,26
2023-01-17,Arroz,37.53,0,69
2023-01-17,Feijão,29.08,0,82
2023-01-17,Café,19.57,0,23
2023-01-17,Açúcar,38.13,0,47
2023-01-17,Manteiga,31.16,0,34
2023-01-18,Chocolate,28.97,1,56
2023-01-18,Biscoito,29.7,0,26
2023-01-18,Leite,41.44,0,25
2023-01-18,Refrigerante,26.29,0,30
2023-01-18,Pão,20.7,0,57
2023-01-18,Arroz,46.69,0,31
2023-01-18,Feijão,40.17,0,43
2023-01-18,Café,12.39,0,82
2023-01-18,Açúcar,33.52,0,22
2023-01-18,Manteiga,41.75,0,64
2023-01-19,Chocolate,45.49,0,61
2023-01-19,Biscoito,20.99,0,45
2023-01-19,Leite,29.46,0,67
2023-01-19,Refrigerante,19.98,0,73
2023-01-19,Pão,11.27,0,72
2023-01-19,Arroz,30.79,0,77
2023-01-19,Feijão,19.03,0,52
2023-01-19,Café,39.31,0,18
2023-01-19,Açúcar,9.63,0,66
2023-01-19,Manteiga,22.88,0,67
2023-01-20,Chocolate,26.89,0,55
2023-01-20,Biscoito,36.23,0,43
2023-01-20,Leite,31.96,0,49
2023-01-20,Refrigerante,47.63,0,38
2023-01-20,Pão,27.76,1,51
2023-01-20,Arroz,9.6,0,79
2023-01-20,Feijão,46.51,0,63
2023-01-20,Café,8.1,0,49
2023-01-20,Açúcar,47.05,0,69
2023-01-20,Manteiga,12.45,0,68
2023-01-21,Chocolate,19.95,0,59
2023-01-21,Biscoito,38.49,0,39
2023-01-21,Leite,32.17,0,35
2023-01-21,Refrigerante,20.61,1,76
2023-01-21,Pão,15.11,0,62
2023-01-21,Arroz,23.85,0,55
2023-01-21,Feijão,31.13,0,42
2023-01-21,Café,23.66,0,54
2023-01-21,Açúcar,18.48,1,92
2023-01-21,Manteiga,20.72,0,76
2023-01-22,Chocolate,22.0,0,67
2023-01-22,Biscoito,28.74,0,43
2023-01-22,Leite,27.37,0,87
2023-01-22,Refrigerante,38.9,0,45
2023-01-22,Pão,28.7,0,49
2023-01-22,Arroz,27.75,0,23
2023-01-22,Feijão,30.62,0,37
2023-01-22,Café,49.49,0,37
2023-01-22,Açúcar,48.32,0,54
2023-01-22,Manteiga,38.12,0,43
2023-01-23,Chocolate,13.16,0,31
2023-01-23,Biscoito,20.38,1,48
2023-01-23,Leite,21.34,0,66
2023-01-23,Refrigerante,18.25,0,24
2023-01-23,Pão,11.31,1,96
2023-01-23,Arroz,13.19,0,70
2023-01-23,Feijão,17.09,0,79
2023-01-23,Café,34.03,0,61
2023-01-23,Açúcar,36.1,1,96
2023-01-23,Manteiga,27.41,0,42
2023-01-24,Chocolate,34.31,0,50
2023-01-24,Biscoito,16.87,0,63
2023-01-24,Leite,31.88,0,58
2023-01-24,Refrigerante,42.71,0,31
2023-01-24,Pão,28.35,0,38
2023-01-24,Arroz,8.07,0,55
2023-01-24,Feijão,21.01,0,25
2023-01-24,Café,34.87,1,96
2023-01-24,Açúcar,26.77,0,74
2023-01-24,Manteiga,7.31,0,29
2023-01-25,Chocolate,20.04,0,76
2023-01-25,Biscoito,23.58,0,29
2023-01-25,Leite,25.69,0,66
2023-01-25,Refrigerante,47.76,0,65
2023-01-25,Pão,8.9,0,80
2023-01-25,Arroz,43.21,0,59
2023-01-25,Feijão,14.95,1,74
2023-01-25,Café,37.9,0,33
2023-01-25,Açúcar,23.98,1,105
2023-01-25,Manteiga,19.36,0,74
2023-01-26,Chocolate,34.26,0,65
2023-01-26,Biscoito,36.33,0,53
2023-01-26,Leite,23.2,0,65
2023-01-26,Refrigerante,19.34,0,24
2023-01-26,Pão,24.21,0,35
2023-01-26,Arroz,5.96,0,58
2023-01-26,Feijão,22.28,0,86
2023-01-26,Café,9.13,1,83
2023-01-26,Açúcar,37.95,0,57
2023-01-26,Manteiga,18.33,0,74
2023-01-27,Chocolate,5.8,0,55
2023-01-27,Biscoito,10.6,0,69
2023-01-27,Leite,9.02,1,101
2023-01-27,Refrigerante,45.67,0,63
2023-01-27,Pão,49.6,0,58
2023-01-27,Arroz,7.11,0,72
2023-01-27,Feijão,13.39,0,72
2023-01-27,Café,14.73,0,29
2023-01-27,Açúcar,12.83,1,66
2023-01-27,Manteiga,41.71,0,33
2023-01-28,Chocolate,29.16,0,81
2023-01-28,Biscoito,16.95,0,76
2023-01-28,Leite,48.0,0,65
2023-01-28,Refrigerante,8.91,0,73
2023-01-28,Pão,16.69,0,58
2023-01-28,Arroz,35.75,0,42
2023-01-28,Feijão,27.28,0,53
2023-01-28,Café,35.51,0,81
2023-01-28,Açúcar,44.54,0,65
2023-01-28,Manteiga,36.88,0,72
2023-01-29,Chocolate,35.61,0,85
2023-01-29,Biscoito,44.23,0,38
2023-01-29,Leite,10.8,0,95
2023-01-29,Refrigerante,42.45,0,51
2023-01-29,Pão,17.92,0,64
2023-01-29,Arroz,33.53,0,48
2023-01-29,Feijão,9.81,0,61
2023-01-29,Café,33.47,0,64
2023-01-29,Açúcar,47.18,0,55
2023-01-29,Manteiga,36.89,0,51
2023-01-30,Chocolate,32.94,0,70
2023-01-30,Biscoito,6.0,0,32
2023-01-30,Leite,41.85,0,24
2023-01-30,Refrigerante,25.31,0,16
2023-01-30,Pão,42.17,0,62
2023-01-30,Arroz,34.45,0,63
2023-01-30,Feijão,48.35,0,36
2023-01-30,Café,15.35,0,74
2023-01-30,Açúcar,34.33,0,58
2023-01-30,Manteiga,12.17,0,33
2023-01-31,Chocolate,39.95,0,46
2023-01-31,Biscoito,40.86,0,73
2023-01-31,Leite,46.44,0,69
2023-01-31,Refrigerante,31.92,0,46
2023-01-31,Pão,30.13,0,60
2023-01-31,Arroz,17.1,0,38
2023-01-31,Feijão,49.3,0,42
2023-01-31,Café,26.6,0,43
2023-01-31,Açúcar,34.56,0,51
2023-01-31,Manteiga,15.89,0,72
2023-02-01,Chocolate,5.83,0,68
2023-02-01,Biscoito,5.44,0,51
2023-02-01,Leite,29.04,0,76
2023-02-01,Refrigerante,30.54,0,63
2023-02-01,Pão,41.96,0,65
2023-02-01,Arroz,36.79,0,57
2023-02-01,Feijão,32.75,0,17
2023-02-01,Café,37.13,0,35
2023-02-01,Açúcar,41.67,0,45
2023-02-01,Manteiga,6.83,0,45
2023-02-02,Chocolate,8.67,0,73
2023-02-02,Biscoito,6.96,0,71
2023-02-02,Leite,37.36,0,63
2023-02-02,Refrigerante,14.93,0,29
2023-02-02,Pão,16.6,0,78
2023-02-02,Arroz,43.08,0,49
2023-02-02,Feijão,21.7,0,57
2023-02-02,Café,22.8,0,60
2023-02-02,Açúcar,45.53,0,46
2023-02-02,Manteiga,21.16,0,67
2023-02-03,Chocolate,33.42,0,18
2023-02-03,Biscoito,32.08,0,28
2023-02-03,Leite,48.71,0,62
2023-02-03,Refrigerante,9.38,0,62
2023-02-03,Pão,31.07,0,62
2023-02-03,Arroz,48.62,0,37
2023-02-03,Feijão,5.41,0,29
2023-02-03,Café,15.56,1,91
2023-02-03,Açúcar,12.64,0,18
2023-02-03,Manteiga,25.22,0,50
2023-02-04,Chocolate,12.52,1,85
2023-02-04,Biscoito,41.26,0,67
2023-02-04,Leite,14.26,0,64
2023-02-04,Refrigerante,47.15,0,31
2023-02-04,Pão,25.35,0,52
2023-02-04,Arroz,11.68,0,77
2023-02-04,Feijão,5.78,1,95
2023-02-04,Café,28.95,0,70
2023-02-04,Açúcar,36.71,0,63
2023-02-04,Manteiga,35.27,0,72
2023-02-05,Chocolate,12.97,0,65
2023-02-05,Biscoito,27.37,0,62
2023-02-05,Leite,30.68,0,55
2023-02-05,Refrigerante,22.72,0,62
2023-02-05,Pão,34.6,0,36
2023-02-05,Arroz,30.52,0,85
2023-02-05,Feijão,23.19,0,80
2023-02-05,Café,40.9,0,24
2023-02-05,Açúcar,10.41,0,54
2023-02-05,Manteiga,22.83,0,39
2023-02-06,Chocolate,29.68,0,45
2023-02-06,Biscoito,8.29,0,65
2023-02-06,Leite,33.92,0,54
2023-02-06,Refrigerante,28.36,0,48
2023-02-06,Pão,22.11,1,71
2023-02-06,Arroz,22.75,0,53
2023-02-06,Feijão,37.32,0,45
2023-02-06,Café,22.1,0,45
2023-02-06,Açúcar,13.76,1,60
2023-02-06,Manteiga,18.83,0,66
2023-02-07,Chocolate,31.14,0,67
2023-02-07,Biscoito,23.61,0,18
2023-02-07,Leite,10.55,0,45
2023-02-07,Refrigerante,9.81,0,51
2023-02-07,Pão,46.3,0,56
2023-02-07,Arroz,6.95,0,72
2023-02-07,Feijão,5.12,0,62
2023-02-07,Café,14.54,0,58
2023-02-07,Açúcar,21.23,0,29
2023-02-07,Manteiga,40.12,0,69
2023-02-08,Chocolate,43.3,0,74
2023-02-08,Biscoito,25.33,0,40
2023-02-08,Leite,15.59,0,68
2023-02-08,Refrigerante,6.06,0,45
2023-02-08,Pão,14.28,0,27
2023-02-08,Arroz,27.35,0,35
2023-02-08,Feijão,31.87,0,17
2023-02-08,Café,5.71,0,67
2023-02-08,Açúcar,9.68,0,45
2023-02-08,Manteiga,16.92,0,66
2023-02-09,Chocolate,13.63,0,50
2023-02-09,Biscoito,24.91,0,56
2023-02-09,Leite,41.02,0,80
2023-02-09,Refrigerante,35.61,0,49
2023-02-09,Pão,19.99,0,66
2023-02-09,Arroz,20.01,0,62
2023-02-09,Feijão,48.09,0,43
2023-02-09,Café,23.43,0,71
2023-02-09,Açúcar,39.03,0,55
2023-02-09,Manteiga,22.21,0,32
2023-02-10,Chocolate,11.86,0,48
2023-02-10,Biscoito,16.57,0,40
2023-02-10,Leite,10.75,0,29
2023-02-10,Refrigerante,10.29,0,55
2023-02-10,Pão,21.21,0,32
2023-02-10,Arroz,47.41,0,73
2023-02-10,Feijão,46.37,0,38
2023-02-10,Café,27.55,0,55
2023-02-10,Açúcar,41.79,0,72
2023-02-10,Manteiga,11.36,0,47
2023-02-11,Chocolate,19.51,0,37
2023-02-11,Biscoito,19.12,0,34
2023-02-11,Leite,45.42,0,65
2023-02-11,Refrigerante,34.98,0,71
2023-02-11,Pão,27.77,0,64
2023-02-11,Arroz,27.78,0,46
2023-02-11,Feijão,33.84,0,56
2023-02-11,Café,7.76,0,83
2023-02-11,Açúcar,7.62,0,41
2023-02-11,Manteiga,9.55,0,41
2023-02-12,Chocolate,33.49,0,47
2023-02-12,Biscoito,34.51,0,83
2023-02-12,Leite,40.64,0,76
2023-02-12,Refrigerante,26.67,0,59
2023-02-12,Pão,48.37,0,32
2023-02-12,Arroz,31.2,0,48
2023-02-12,Feijão,32.85,0,60
2023-02-12,Café,7.91,0,70
2023-02-12,Açúcar,16.96,0,58
2023-02-12,Manteiga,11.75,0,94
2023-02-13,Chocolate,34.33,0,73
2023-02-13,Biscoito,40.33,0,54
2023-02-13,Leite,9.6,0,34
2023-02-13,Refrigerante,16.46,0,21
2023-02-13,Pão,25.77,1,58
2023-02-13,Arroz,15.21,0,84
2023-02-13,Feijão,28.33,0,38
2023-02-13,Café,7.15,0,16
2023-02-13,Açúcar,37.23,0,22
2023-02-13,Manteiga,39.86,1,105
2023-02-14,Chocolate,20.97,0,32
2023-02-14,Biscoito,16.93,0,61
2023-02-14,Leite,28.16,0,57
2023-02-14,Refrigerante,22.19,0,60
2023-02-14,Pão,16.49,0,67
2023-02-14,Arroz,6.89,0,43
2023-02-14,Feijão,10.64,0,63
2023-02-14,Café,38.66,0,31
2023-02-14,Açúcar,12.05,0,46
2023-02-14,Manteiga,24.77,0,60
2023-02-15,Chocolate,17.32,0,45
2023-02-15,Biscoito,34.06,0,72
2023-02-15,Leite,19.26,0,52
2023-02-15,Refrigerante,38.98,0,68
2023-02-15,Pão,37.78,1,71
2023-02-15,Arroz,38.89,0,35
2023-02-15,Feijão,12.42,1,72
2023-02-15,Café,27.76,1,71
2023-02-15,Açúcar,23.6,0,47
2023-02-15,Manteiga,30.43,0,26
2023-02-16,Chocolate,30.97,0,47
2023-02-16,Biscoito,5.42,0,32
2023-02-16,Leite,44.67,0,15
2023-02-16,Refrigerante,18.99,0,57
2023-02-16,Pão,32.72,0,37
2023-02-16,Arroz,28.59,0,26
2023-02-16,Feijão,6.59,0,57
2023-02-16,Café,35.53,0,56
2023-02-16,Açúcar,18.75,0,30
2023-02-16,Manteiga,14.77,0,28
2023-02-17,Chocolate,23.57,0,37
2023-02-17,Biscoito,23.1,0,82
2023-02-17,Leite,33.9,0,26
2023-02-17,Refrigerante,7.38,0,70
2023-02-17,Pão,41.22,0,46
2023-02-17,Arroz,11.7,0,65
2023-02-17,Feijão,40.32,0,47
2023-02-17,Café,11.64,0,41
2023-02-17,Açúcar,15.61,0,71
2023-02-17,Manteiga,49.93,0,46
2023-02-18,Chocolate,23.96,0,95
2023-02-18,Biscoito,42.79,0,67
2023-02-18,Leite,31.45,0,38
2023-02-18,Refrigerante,6.09,0,70
2023-02-18,Pão,46.83,0,87
2023-02-18,Arroz,26.64,0,43
2023-02-18,Feijão,11.01,1,73
2023-02-18,Café,37.83,0,74
2023-02-18,Açúcar,32.46,0,39
2023-02-18,Manteiga,7.57,1,91
2023-02-19,Chocolate,16.11,0,57
2023-02-19,Biscoito,43.02,0,46
2023-02-19,Leite,43.39,0,41
2023-02-19,Refrigerante,19.18,0,72
2023-02-19,Pão,15.66,0,58
2023-02-19,Arroz,22.71,0,70
2023-02-19,Feijão,33.1,0,63
2023-02-19,Café,13.6,0,30
2023-02-19,Açúcar,47.62,0,70
2023-02-19,Manteiga,49.12,0,51
2023-02-20,Chocolate,29.41,0,54
2023-02-20,Biscoito,25.62,0,60
2023-02-20,Leite,11.34,0,14
2023-02-20,Refrigerante,23.53,0,32
2023-02-20,Pão,7.8,0,64
2023-02-20,Arroz,40.38,1,62
2023-02-20,Feijão,12.41,0,56
2023-02-20,Café,10.68,0,37
2023-02-20,Açúcar,44.18,0,32
2023-02-20,Manteiga,30.11,0,69
2023-02-21,Chocolate,25.88,0,21
2023-02-21,Biscoito,21.74,0,75
2023-02-21,Leite,22.12,0,42
2023-02-21,Refrigerante,39.09,0,35
2023-02-21,Pão,40.91,0,59
2023-02-21,Arroz,25.14,0,58
2023-02-21,Feijão,19.25,0,23
2023-02-21,Café,34.44,0,24
2023-02-21,Açúcar,40.94,0,63
2023-02-21,Manteiga,49.28,1,98
2023-02-22,Chocolate,19.54,0,35
2023-02-22,Biscoito,28.73,0,25
2023-02-22,Leite,14.44,0,45
2023-02-22,Refrigerante,41.86,0,46
2023-02-22,Pão,39.18,0,62
2023-02-22,Arroz,42.27,0,48
2023-02-22,Feijão,16.0,0,44
2023-02-22,Café,25.27,0,61
2023-02-22,Açúcar,24.6,0,84
2023-02-22,Manteiga,49.06,0,65
2023-02-23,Chocolate,38.27,0,52
2023-02-23,Biscoito,12.87,0,71
2023-02-23,Leite,49.63,0,32
2023-02-23,Refrigerante,14.57,0,64
2023-02-23,Pão,23.37,0,55
2023-02-23,Arroz,40.48,0,37
2023-02-23,Feijão,34.28,0,30
2023-02-23,Café,43.91,0,59
2023-02-23,Açúcar,23.57,0,26
2023-02-23,Manteiga,38.3,0,75
2023-02-24,Chocolate,43.63,1,83
2023-02-24,Biscoito,42.78,0,59
2023-02-24,Leite,18.71,1,84
2023-02-24,Refrigerante,14.83,0,70
2023-02-24,Pão,9.34,0,62
2023-02-24,Arroz,15.19,0,28
2023-02-24,Feijão,7.17,0,37
2023-02-24,Café,28.91,1,105
2023-02-24,Açúcar,24.31,0,72
2023-02-24,Manteiga,7.86,0,36
2023-02-25,Chocolate,10.17,0,52
2023-02-25,Biscoito,36.25,0,50
2023-02-25,Leite,39.82,1,107
2023-02-25,Refrigerante,33.41,0,59
2023-02-25,Pão,15.68,0,47
2023-02-25,Arroz,34.35,0,57
2023-02-25,Feijão,38.46,0,44
2023-02-25,Café,21.28,0,35
2023-02-25,Açúcar,11.3,0,39
2023-02-25,Manteiga,17.63,0,66
2023-02-26,Chocolate,5.25,0,85
2023-02-26,Biscoito,7.0,0,83
2023-02-26,Leite,17.81,0,73
2023-02-26,Refrigerante,6.34,0,95
2023-02-26,Pão,46.82,1,73
2023-02-26,Arroz,35.19,0,48
2023-02-26,Feijão,18.35,0,83
2023-02-26,Café,42.33,0,78
2023-02-26,Açúcar,16.55,0,92
2023-02-26,Manteiga,31.83,0,63
2023-02-27,Chocolate,8.2,0,57
2023-02-27,Biscoito,34.07,0,54
2023-02-27,Leite,31.71,0,30
2023-02-27,Refrigerante,33.7,0,50
2023-02-27,Pão,42.31,1,93
2023-02-27,Arroz,30.97,0,71
2023-02-27,Feijão,14.72,1,82
2023-02-27,Café,36.16,0,56
2023-02-27,Açúcar,8.49,0,42
2023-02-27,Manteiga,40.93,0,49
2023-02-28,Chocolate,31.07,0,20
2023-02-28,Biscoito,21.7,0,31
2023-02-28,Leite,22.68,0,82
2023-02-28,Refrigerante,11.42,0,62
2023-02-28,Pão,47.6,0,76
2023-02-28,Arroz,20.33,0,26
2023-02-28,Feijão,31.82,0,56
2023-02-28,Café,9.74,1,90
2023-02-28,Açúcar,26.85,0,68
2023-02-28,Manteiga,9.47,0,27
2023-03-01,Chocolate,22.46,0,63
2023-03-01,Biscoito,42.6,0,56
2023-03-01,Leite,26.33,1,75
2023-03-01,Refrigerante,32.31,1,54
2023-03-01,Pão,48.68,0,84
2023-03-01,Arroz,42.51,0,54
2023-03-01,Feijão,42.21,0,65
2023-03-01,Café,17.16,0,42
2023-03-01,Açúcar,29.52,0,64
2023-03-01,Manteiga,41.75,0,48
2023-03-02,Chocolate,49.72,0,56
2023-03-02,Biscoito,25.77,0,80
2023-03-02,Leite,6.78,0,71
2023-03-02,Refrigerante,31.69,0,30
2023-03-02,Pão,29.0,0,51
2023-03-02,Arroz,26.01,0,37
2023-03-02,Feijão,47.71,1,103
2023-03-02,Café,31.49,0,71
2023-03-02,Açúcar,28.51,0,67
2023-03-02,Manteiga,27.15,0,55
2023-03-03,Chocolate,45.25,0,58
2023-03-03,Biscoito,30.81,0,57
2023-03-03,Leite,49.83,0,57
2023-03-03,Refrigerante,44.76,0,31
2023-03-03,Pão,48.72,0,81
2023-03-03,Arroz,35.95,0,64
2023-03-03,Feijão,28.73,0,69
2023-03-03,Café,17.54,0,37
2023-03-03,Açúcar,40.7,0,81
2023-03-03,Manteiga,38.9,0,26
2023-03-04,Chocolate,39.48,0,41
2023-03-04,Biscoito,8.49,0,75
2023-03-04,Leite,18.78,0,51
2023-03-04,Refrigerante,5.27,0,52
2023-03-04,Pão,35.68,0,52
2023-03-04,Arroz,35.01,0,18
2023-03-04,Feijão,23.06,0,62
2023-03-04,Café,31.25,0,86
2023-03-04,Açúcar,14.87,0,70
2023-03-04,Manteiga,44.01,0,52
2023-03-05,Chocolate,29.96,0,45
2023-03-05,Biscoito,18.64,0,96
2023-03-05,Leite,10.4,0,45
2023-03-05,Refrigerante,44.69,0,44
2023-03-05,Pão,17.22,0,76
2023-03-05,Arroz,37.18,0,80
2023-03-05,Feijão,31.25,0,40
2023-03-05,Café,46.89,0,73
2023-03-05,Açúcar,30.42,0,82
2023-03-05,Manteiga,45.95,1,94
2023-03-06,Chocolate,9.02,1,99
2023-03-06,Biscoito,36.67,1,100
2023-03-06,Leite,16.44,0,28
2023-03-06,Refrigerante,47.78,0,43
2023-03-06,Pão,9.74,1,92
2023-03-06,Arroz,27.44,0,67
2023-03-06,Feijão,24.47,0,50
2023-03-06,Café,5.13,0,31
2023-03-06,Açúcar,23.74,0,27
2023-03-06,Manteiga,44.14,0,36
2023-03-07,Chocolate,14.71,0,77
2023-03-07,Biscoito,46.89,0,61
2023-03-07,Leite,19.2,0,49
2023-03-07,Refrigerante,31.06,0,67
2023-03-07,Pão,21.55,0,31
2023-03-07,Arroz,15.88,0,72
2023-03-07,Feijão,5.87,0,55
2023-03-07,Café,19.86,0,39
2023-03-07,Açúcar,5.45,0,33
2023-03-07,Manteiga,39.3,0,78
2023-03-08,Chocolate,39.78,0,76
2023-03-08,Biscoito,8.44,0,46
2023-03-08,Leite,10.41,0,70
2023-03-08,Refrigerante,33.88,0,73
2023-03-08,Pão,18.49,0,31
2023-03-08,Arroz,29.61,0,66
2023-03-08,Feijão,40.12,0,15
2023-03-08,Café,36.96,0,18
2023-03-08,Açúcar,26.78,0,47
2023-03-08,Manteiga,49.56,0,53
2023-03-09,Chocolate,49.61,0,76
2023-03-09,Biscoito,14.22,0,47
2023-03-09,Leite,11.34,0,51
2023-03-09,Refrigerante,49.17,0,66
2023-03-09,Pão,22.47,0,21
2023-03-09,Arroz,18.07,1,92
2023-03-09,Feijão,7.73,0,84
2023-03-09,Café,33.39,0,74
2023-03-09,Açúcar,23.7,0,35
2023-03-09,Manteiga,35.58,0,47
2023-03-10,Chocolate,46.79,0,25
2023-03-10,Biscoito,6.98,0,72
2023-03-10,Leite,26.66,0,50
2023-03-10,Refrigerante,28.73,1,66
2023-03-10,Pão,48.23,0,50
2023-03-10,Arroz,46.37,0,31
2023-03-10,Feijão,33.01,0,44
2023-03-10,Café,43.44,0,74
2023-03-10,Açúcar,16.13,0,55
2023-03-10,Manteiga,39.72,1,115
2023-03-11,Chocolate,5.41,0,60
